event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
UKR30542,2019-12-18,2019,1,"Strategic developments","Strategic developments","Looting/property destruction","Unidentified Armed Group (Ukraine)",,"Political militia","Civilians (Ukraine)","Government of Ukraine (2019-)",Civilians,"Political militia-Civilians",,804,Europe,Ukraine,Odesa,Odeskyi,Odeska,Odesa,46.4639,30.7386,1,"Dumskaya; Novoye Vremya Ukraine",Subnational-National,"On 18 December 2019, two unidentified individuals set fire to a shop in Odessa belonging to a regional council deputy closely affiliated with the city mayor. No injuries were reported.",0,"local administrators",1687837309
UKR30596,2019-12-19,2019,1,"Strategic developments","Strategic developments","Looting/property destruction","Unidentified Armed Group (Ukraine)",,"Political militia","Civilians (Ukraine)","Journalists (Ukraine)",Civilians,"Political militia-Civilians",,804,Europe,Ukraine,Lviv,Sambirskyi,Sambirska,Sambir,49.5183,23.1975,1,"LIGA.net; Reporter-ua",National,"On 19 December 2019, unidentified individuals set fire to the office of a local newspaper in Sambir, Lviv. The office burned down, no injuries were reported.",0,,1649875467
UKR30652,2019-12-20,2019,1,"Strategic developments","Strategic developments","Looting/property destruction","Unidentified Armed Group (Ukraine)",,"Political militia","Civilians (Ukraine)",,Civilians,"Political militia-Civilians",,804,Europe,Ukraine,"Kyiv City",Kyiv,,"Kyiv - Solomyanskyi",50.4267,30.4538,1,"24 Channel",National,"On 20 December 2019, unidentified individuals set fire to the car of the founder of public organization that fights against corruption in schools in Solomyanskyi district of Kyiv. The car burned down, no injuries were reported.",0,,1649875467
UKR30861,2019-12-25,2019,1,"Strategic developments","Strategic developments","Looting/property destruction","NAF: United Armed Forces of Novorossiya",,"Rebel group","Civilians (International)","OSCE: Organization for Security and Co-operation in Europe; SMM: Special Monitoring Mission to Ukraine",Civilians,"Rebel group-Civilians",,804,Europe,Ukraine,Donetsk,Horlivskyi,Yenakiievska,"Verhknya Krynka",48.1777,38.1332,2,"OSCE SMM-Ukraine",Other,"On 25 December 2019, the OSCE SMM observed a total of 17 shots/bursts of fire involving small arms near Verhknya Krynka, assessed as aimed at the SMM's UAV.",0,,1649875466
UKR30937,2019-12-27,2019,1,"Strategic developments","Strategic developments","Looting/property destruction","Unidentified Armed Group (Ukraine)",,"Political militia","Civilians (Ukraine)","Government of Ukraine (2019-)",Civilians,"Political militia-Civilians",,804,Europe,Ukraine,Kharkiv,Kharkivskyi,Kharkivska,Kharkiv,49.9808,36.2527,1,"Novoye Vremya Ukraine; Segodnya",National,"On 27 December 2019, an unidentified man threw a bottle with incendiary mixture at the entrance door of the regional administration in Kharkiv, setting it on fire. Bypassing people managed to put out the fire, no injuries were reported.",0,"local administrators",1687837309
UKR31774,2019-12-29,2019,1,"Strategic developments","Strategic developments","Looting/property destruction","Unidentified Armed Group (Ukraine)",,"Political militia","Civilians (Ukraine)",,Civilians,"Political militia-Civilians",,804,Europe,Ukraine,Crimea,Sevastopol,,Sevastopol,44.6121,33.5244,1,Meridian,Subnational,"On 29 December 2019, unidentified individuals set fire to a car of a pro-Russian activist who recently became critical of the Russian authorities in Sevastopol, Crimea. The car was destroyed, no injuries were reported.",0,,1649875466
UKR31048,2019-12-31,2019,1,"Strategic developments","Strategic developments","Looting/property destruction","NAF: United Armed Forces of Novorossiya",,"Rebel group","Civilians (International)","OSCE: Organization for Security and Co-operation in Europe; SMM: Special Monitoring Mission to Ukraine",Civilians,"Rebel group-Civilians",,804,Europe,Ukraine,Luhansk,Luhanskyi,Luhanska,Fabrychne,48.4837,39.3206,2,"OSCE SMM-Ukraine",Other,"On 31 December 2019, the OSCE SMM observed a total of 8 shots involving small arms near Fabrychne, assessed as aimed at the SMM's UAV.",0,,1649875466
UKR31600,2020-01-14,2020,1,"Strategic developments","Strategic developments","Looting/property destruction","NAF: United Armed Forces of Novorossiya",,"Rebel group","Civilians (International)","OSCE: Organization for Security and Co-operation in Europe",Civilians,"Rebel group-Civilians",,804,Europe,Ukraine,Luhansk,Luhanskyi,Lutuhynska,Shimshinovka,48.4383,38.9852,2,"OSCE SMM-Ukraine",Other,"On 14 January 2020, the OSCE SMM observed a total of 17 shots/bursts of fire involving small arms near Shimshinovka, assessed as aimed at an OSCE SMM's UAV.",0,,1753971204
UKR31724,2020-01-17,2020,1,"Strategic developments","Strategic developments","Looting/property destruction","NAF: United Armed Forces of Novorossiya",,"Rebel group","Civilians (International)","OSCE: Organization for Security and Co-operation in Europe",Civilians,"Rebel group-Civilians",,804,Europe,Ukraine,Luhansk,Luhanskyi,Luhanska,"Velyka Verhunka",48.6114,39.3801,2,"OSCE SMM-Ukraine",Other,"On 17 January 2020, the OSCE SMM observed a total of 25 shots involving small arms near Velyka Verhunka, assessed as aimed at an OSCE SMM's UAV.",0,,1753971204
UKR31919,2020-01-22,2020,1,"Strategic developments","Strategic developments","Looting/property destruction","Unidentified Armed Group (Ukraine)",,"Political militia","Civilians (Ukraine)","Party of Shariy",Civilians,"Political militia-Civilians",,804,Europe,Ukraine,Kherson,Khersonskyi,Khersonska,Kherson,46.6558,32.6178,1,"24 Channel; Espreso TV; Focus; Liveuamap; Novoye Vremya Ukraine","Local partner-New media","On 22 January 2020, at night, unidentified individuals set fire to an office of the Party of Shariy in Kherson by breaking a window and throwing an incendiary mixture inside. The office was damaged, no injuries were reported.",0,,1755646924
UKR32150,2020-01-27,2020,1,"Strategic developments","Strategic developments","Looting/property destruction","Unidentified Armed Group (Ukraine)",,"Political militia","Civilians (Ukraine)","Government of Ukraine (2019-)",Civilians,"Political militia-Civilians",,804,Europe,Ukraine,Zakarpattia,Uzhhorodskyi,Uzhhorodska,Uzhhorod,48.6167,22.3000,1,Segodnya,National,"On 27 January 2020, an unidentified individual set fire to a car of a Ukrainian Ambassador to Switzerland in Uzhhorod. The car was destroyed, no injuries were reported.",0,,1757975743
UKR32275,2020-01-30,2020,1,"Strategic developments","Strategic developments","Looting/property destruction","Unidentified Armed Group (Ukraine)",,"Political militia","Civilians (Ukraine)","Journalists (Ukraine); Military Forces of Ukraine (2019-)",Civilians,"Political militia-Civilians",,804,Europe,Ukraine,Zaporizhia,Zaporizkyi,Zaporizka,Zaporizhia,47.8479,35.1602,1,"061.ua; Inform.zp.ua; LIGA.net; Unian; ZMINA",Other-Subnational,"On 30 January 2020, at night, unidentified individuals set fire to a car of a journalist and Donbass volunteer in Zaporizhia. The car was destroyed, no injuries were reported.",0,,1753971204
UKR32276,2020-01-30,2020,1,"Strategic developments","Strategic developments","Looting/property destruction","Unidentified Armed Group (Ukraine)",,"Political militia","Civilians (Ukraine)","Journalists (Ukraine)",Civilians,"Political militia-Civilians",,804,Europe,Ukraine,Lviv,Lvivskyi,Lvivska,Lviv,49.8407,24.0305,1,"LIGA.net; Liveuamap; RFE/RL; ZMINA","Local partner-New media","On 30 January 2020, at night, unidentified individuals set fire to a car of a Radio Free Europe journalist in Lviv. The car was destroyed, no injuries were reported.",0,,1753971204
UKR32573,2020-02-03,2020,1,"Strategic developments","Strategic developments","Looting/property destruction","Military Forces of Ukraine (2019-)",,"State forces","Civilians (International)","OSCE: Organization for Security and Co-operation in Europe",Civilians,"State forces-Civilians",,804,Europe,Ukraine,Donetsk,Bakhmutskyi,Toretska,"New York",48.3319,37.8358,2,"OSCE SMM-Ukraine",Other,"On 3 February 2020, the OSCE SMM observed a total of 7 shots involving small arms near Novhorodske, assessed as aimed at an OSCE UAV.",0,,1720552482
UKR32637,2020-02-05,2020,1,"Strategic developments","Strategic developments","Looting/property destruction","Unidentified Armed Group (Ukraine)",,"Political militia","Civilians (Ukraine)","Government of Ukraine (2019-)",Civilians,"Political militia-Civilians",,804,Europe,Ukraine,Kyiv,Buchanskyi,Kotsiubynska,Kotsiubynske,50.4905,30.3337,1,"24 Channel; Stop Corruption",National,"On 5 February 2020, unidentified individuals set fire to the car of an Irpin city council deputy in Kotsiubynske, Kyiv. The car burned down, no injuries were reported.",0,"local administrators",1753971204
UKR33090,2020-02-16,2020,1,"Strategic developments","Strategic developments","Looting/property destruction","Unidentified Armed Group (Ukraine)",,"Political militia","Civilians (Ukraine)","Ukrainian Orthodox Christian Group (Ukraine)",Civilians,"Political militia-Civilians",,804,Europe,Ukraine,Volyn,Volodymyrskyi,Ovadnivska,Ovadne,50.9263,24.3882,1,"24 Channel; Novoye Vremya Ukraine",National,"On 16 February 2020, unidentified individuals set fire to a car of a priest of the Orthodox Church of Ukraine in Ovadne, Volyn. The car was destroyed, no injuries were reported.",0,,1753971204
UKR34182,2020-03-07,2020,2,"Strategic developments","Strategic developments","Looting/property destruction","Unidentified Armed Group (Ukraine)",,"Political militia","Civilians (Ukraine)","Government of Ukraine (2019-)",Civilians,"Political militia-Civilians",,804,Europe,Ukraine,Zhytomyr,Zhytomyrskyi,Zhytomyrska,Zhytomyr,50.2649,28.6767,1,Unian,National,"Around 7 March 2020 (between 6 April - 7 April), unidentified individuals set fire to two cars of the head of the cultural department of the city council in Zhytomyr. No injuries were reported.",0,"local administrators",1753971204
UKR34299,2020-03-10,2020,1,"Strategic developments","Strategic developments","Looting/property destruction","Unidentified Armed Group (Ukraine)",,"Political militia","Civilians (Ukraine)","Government of Ukraine (2019-); Lawyers (Ukraine)",Civilians,"Political militia-Civilians",,804,Europe,Ukraine,Odesa,Bilhorod-Dnistrovskyi,Bilhorod-Dnistrovska,Bilhorod-Dnistrovskyi,46.1844,30.3447,1,"Novoye Vremya Ukraine; Reporter-ua",National,"On 10 March 2020, unidentified individuals set fire to a car of a local prosecutor in Bilhorod-Dnistrovskyi, Odessa. No injuries were reported.",0,"local administrators",1753971204
UKR34401,2020-03-12,2020,1,"Strategic developments","Strategic developments","Looting/property destruction","Unidentified Armed Group (Ukraine)",,"Political militia","Civilians (Ukraine)","Government of Ukraine (2019-)",Civilians,"Political militia-Civilians",,804,Europe,Ukraine,"Kyiv City",Kyiv,,Kyiv,50.4496,30.5224,1,"LIGA.net; Novoye Vremya Ukraine; Reporter-ua; Stop Corruption; Ukraine General Newswire",National,"On 12 March 2020, unidentified individuals set fire to a car of the acting head of State Environmental Inspectorate near his apartment in Kyiv. The car was destroyed, no injuries were reported. The victim connects the arson to his activities as the state official, in particular his high fines for polluters and anti-corruption measures.",0,,1753971204
UKR35481,2020-04-03,2020,1,"Strategic developments","Strategic developments","Looting/property destruction","Unidentified Armed Group (Ukraine)",,"Political militia","Civilians (Ukraine)","Right Sector",Civilians,"Political militia-Civilians",,804,Europe,Ukraine,Odesa,Odeskyi,Odeska,Odesa,46.4639,30.7386,1,"24 Channel",National,"On 3 April 2020, unidentified individuals set fire to a car of an activist of Right Sector and a nationalist movement 'Street Front' in Odessa. The victims claims that the arson is connected to his activism.",0,,1753971204
UKR36127,2020-04-20,2020,2,"Strategic developments","Strategic developments","Looting/property destruction","Unidentified Armed Group (Ukraine)",,"Political militia","Civilians (Ukraine)","Jewish Group (Ukraine)",Civilians,"Political militia-Civilians",,804,Europe,Ukraine,Kherson,Khersonskyi,Khersonska,Kherson,46.6558,32.6178,1,"Novoye Vremya Ukraine",National,"At night of 19-20 April 2020, an unidentified individual threw incendiary mixture at a building of the Jewish religious community in Kherson. The fire went out by itself, no injuries were reported.",0,,1755646924
UKR36415,2020-04-26,2020,1,"Strategic developments","Strategic developments","Looting/property destruction","Unidentified Armed Group (Ukraine)",,"Political militia","Civilians (Ukraine)","Journalists (Ukraine); Svoboda",Civilians,"Political militia-Civilians",,804,Europe,Ukraine,Kyiv,Bilotserkivskyi,Tetiivska,Tetiiv,49.3767,29.6647,1,"Novoye Vremya Ukraine; Segodnya",National,"On 26 April 2020, unidentified individuals broke windows of a house of a journalist of the press-service of Svoboda party in Tetiiv, Kyiv, and threw a bottle with incendiary mixture inside. The house did not catch fire, no injuries were reported. The journalist connects the attempted arson to his professional activity since he had been receiving threats previously.",0,,1753971204
UKR36759,2020-05-01,2020,1,"Strategic developments","Strategic developments","Looting/property destruction","Unidentified Armed Group (Ukraine)",,"Political militia","Civilians (Ukraine)","Government of Ukraine (2019-)",Civilians,"Political militia-Civilians",,804,Europe,Ukraine,Odesa,Izmailskyi,Reniiska,Reni,45.4573,28.2932,1,"USI Odessa",Subnational,"On 1 May 2020, a car of a Reni town councillor was set on fire in Reni, Odessa. No injuries were reported. The councillor says the arson is revenge for his active public position.",0,"local administrators",1753971204
UKR37421,2020-05-11,2020,1,"Strategic developments","Strategic developments","Looting/property destruction","Unidentified Armed Group (Ukraine)",,"Political militia","Civilians (Ukraine)",,Civilians,"Political militia-Civilians",,804,Europe,Ukraine,Odesa,Izmailskyi,Izmailska,Izmail,45.3493,28.8408,1,Dumskaya,Subnational,"Property destruction: On 11 May 2020, unidentified individuals set fire to a car of an activist and blogger in Izmail, Odessa. No injuries were reported. The activist connects the arson to his multiple posts criticizing the local police.",0,,1753971204
UKR37424,2020-05-13,2020,1,"Strategic developments","Strategic developments","Looting/property destruction","Unidentified Armed Group (Ukraine)",,"Political militia","Civilians (Ukraine)",,Civilians,"Political militia-Civilians",,804,Europe,Ukraine,Odesa,Izmailskyi,Reniiska,Reni,45.4573,28.2932,1,"Bessarabia INFORM",Regional,"Property destruction: On 13 May 2020, unidentified individuals set fire to a car of the wife of the district council's head in Reni, Odessa. No injuries were reported.",0,"local administrators",1753971204
UKR37312,2020-05-15,2020,1,"Strategic developments","Strategic developments","Looting/property destruction","Unidentified Armed Group (Ukraine)",,"Political militia","Civilians (Ukraine)","Government of Ukraine (2019-); Servant of the People",Civilians,"Political militia-Civilians",,804,Europe,Ukraine,Zakarpattia,Uzhhorodskyi,Onokivska,Nevytske,48.6784,22.3933,1,"24 Channel; Novoye Vremya Ukraine",National,"On 15 May 2020, unidentified individuals threw a bottle with incendiary mixture in a yard of a Parliamentary deputy from the Servant of the People party in Nevytske, Zakarpattia. A gazebo in the yard caught fire which the owners managed to put out on their own, no injuries were reported.",0,,1753971204
UKR37463,2020-05-18,2020,1,"Strategic developments","Strategic developments","Looting/property destruction","Unidentified Armed Group (Ukraine)",,"Political militia","Civilians (Ukraine)","Government of Ukraine (2019-)",Civilians,"Political militia-Civilians",,804,Europe,Ukraine,Kherson,Khersonskyi,Oleshkivska,Oleshky,46.6184,32.7189,1,"Reporter-ua; Stop Corruption",National,"Property destruction: On 18 May 2020, unidentified individuals set fire to a car of a local city council deputy in Oleshky, Kherson. No injuries were reported.",0,"local administrators",1763492623
UKR37871,2020-05-27,2020,1,"Strategic developments","Strategic developments","Looting/property destruction","Unidentified Armed Group (Ukraine)",,"Political militia","Civilians (Ukraine)","Government of Ukraine (2019-); Lawyers (Ukraine)",Civilians,"Political militia-Civilians",,804,Europe,Ukraine,Kherson,Kakhovskyi,Kakhovska,Kakhovka,46.8137,33.4870,1,"24 Channel",National,"Property destruction: On 27 May 2020, an unidentified individual broke a window and threw a bottle with incendiary mixture in the building of a prosecutor's office in Kakhovka, Kherson, setting it on fire. No injuries were reported.",0,,1753971110
UKR39210,2020-06-02,2020,1,"Strategic developments","Strategic developments","Looting/property destruction","Unidentified Armed Group (Ukraine)",,"Political militia","Civilians (Ukraine)",,Civilians,"Political militia-Civilians",,804,Europe,Ukraine,Donetsk,Bakhmutskyi,Bakhmutska,Bakhmut,48.5956,37.9999,1,ZMINA,Other,"Property destruction: On 2 June 2020, unidentified individuals set fire to the car of an activist in Bakhmut, Donetsk. No injuries were reported.",0,,1753971110
UKR38732,2020-06-10,2020,1,"Strategic developments","Strategic developments","Looting/property destruction","Unidentified Armed Group (Ukraine)",,"Political militia","Civilians (Ukraine)","Journalists (Ukraine)",Civilians,"Political militia-Civilians",,804,Europe,Ukraine,Lviv,Lvivskyi,Lvivska,Lviv,49.8407,24.0305,3,"Vholos; Zaxid",Subnational,"Property destruction: On 10 June 2020, unidentified individuals broke into the yard of a journalist, the director-general of the NTA television channel and the Vholos media holding company in Lviv region, damaged his car and tried to break into his house but were stopped by the security system.",0,,1753971110
UKR38247,2020-06-11,2020,1,"Strategic developments","Strategic developments","Looting/property destruction","Unidentified Armed Group (Ukraine)",,"Political militia","Civilians (Ukraine)","Lawyers (Ukraine)",Civilians,"Political militia-Civilians",,804,Europe,Ukraine,Odesa,Odeskyi,Odeska,Odesa,46.4639,30.7386,1,"24 Channel; Dumskaya; Novoye Vremya Ukraine",Subnational-National,"Property destruction: On 11 June 2020, unidentified individuals set fire to the car of an attorney in Odessa who was defending a suspect in the acid attack on activist Kateryna Handziuk. No injuries were reported.",0,,1753971110
UKR40071,2020-06-29,2020,1,"Strategic developments","Strategic developments","Looting/property destruction","Unidentified Armed Group (Ukraine)",,"Political militia","Civilians (Ukraine)","Opposition Platform - For Life",Civilians,"Political militia-Civilians",,804,Europe,Ukraine,Donetsk,Kramatorskyi,Kramatorska,Kramatorsk,48.7306,37.5816,1,"Obshchezhytiye Online",Subnational,"Property destruction: On 29 June 2020, unidentified individuals smashed the windows and glass doors and left insulting messages on the wall of an office of the Opposition Platform - For Life party in Kramatorsk, Donetsk.",0,,1753971110
UKR39752,2020-07-10,2020,1,"Strategic developments","Strategic developments","Looting/property destruction","Unidentified Armed Group (Ukraine)","Anarchist Group (Ukraine)","Political militia","Police Forces of Ukraine (2019-)",,"State forces","State forces-Political militia",,804,Europe,Ukraine,"Kyiv City",Kyiv,,"Kyiv - Pecherskyi",50.4270,30.5454,1,"Kyiv Operatyvnyi",National,"Property destruction: On 10 July 2020, members of an anarchist group set fire to a police department in Kiev-Pecherskyi. No injuries were reported.",0,,1753971110
UKR39985,2020-07-15,2020,1,"Strategic developments","Strategic developments","Looting/property destruction","Unidentified Armed Group (Ukraine)",,"Political militia","Civilians (Ukraine)",,Civilians,"Political militia-Civilians",,804,Europe,Ukraine,Zaporizhia,Polohivskyi,Tokmatska,Tokmak,47.2552,35.7124,1,ZMINA,Other,"Property destruction: On 15 July 2020, unidentified individuals set fire to a car of an activist and a candidate for a mayor position in Tokmak, Zaporizhia. The car was destroyed, no injuries were reported.",0,,1755646924
UKR39627,2020-07-16,2020,1,"Strategic developments","Strategic developments","Looting/property destruction","Unidentified Armed Group (Ukraine)",,"Political militia","Civilians (Ukraine)","National Corps Party",Civilians,"Political militia-Civilians",,804,Europe,Ukraine,Mykolaiv,Mykolaivskyi,Mykolaivska,Mykolaiv,46.9672,32.0183,1,"24 Channel; Espreso TV; Liveuamap","Local partner-New media","Property destruction: On 16 July 2020, unidentified individuals set fire to a car of the head of the regional branch of National Corps in Mykolaiv. A group of people calling themselves separatists from Odessa claimed responsibility.",0,,1753971110
UKR39754,2020-07-22,2020,1,"Strategic developments","Strategic developments","Looting/property destruction","Unidentified Armed Group (Ukraine)",,"Political militia","Civilians (Ukraine)","Government of Ukraine (2019-); Fatherland Party",Civilians,"Political militia-Civilians",,804,Europe,Ukraine,Rivne,Rivnenskyi,Kostopilska,Kostopil,50.8784,26.4519,1,"Novoye Vremya Ukraine; ZIK",National,"Property destruction: On 22 July 2020, unidentified individuals set fire to the house of the head of the district council and the head of the local branch of the Fatherland party in Kostopil, Rivne. The house was destroyed, no injuries were reported.",0,"local administrators",1753971110
UKR39741,2020-07-23,2020,1,"Strategic developments","Strategic developments","Looting/property destruction","Unidentified Armed Group (Ukraine)",,"Political militia","Civilians (Ukraine)",,Civilians,"Political militia-Civilians",,804,Europe,Ukraine,Kyiv,Boryspilskyi,Zolochivska,Hnidyn,50.3287,30.7057,1,"24 Channel; AFP; Focus; Novoye Vremya Ukraine",National-International,"Property destruction: On 23 July 2020, unidentified individuals set fire to the house of an anti-corruption activist, the head of the NGO Anti-Corruption Action Centre, in Hnidyn, Kiev. The house was destroyed, no injuries were reported.",0,,1753971110
UKR39999,2020-07-28,2020,1,"Strategic developments","Strategic developments","Looting/property destruction","Unidentified Armed Group (Ukraine)",,"Political militia","Civilians (Ukraine)","Opposition Platform - For Life",Civilians,"Political militia-Civilians",,804,Europe,Ukraine,Donetsk,Mariupolskyi,Mariupolska,Mariupol,47.1298,37.5710,1,ITAR-TASS,Regional,"Property destruction: On 28 July 2020, unidentified individuals smashed the windows and smeared with green dye the walls of an office of the Opposition Platform - For Life party in Mariupol, Donetsk. No injuries were reported.",0,,1762895040
UKR40228,2020-07-28,2020,1,"Strategic developments","Strategic developments","Looting/property destruction","Unidentified Armed Group (Ukraine)",,"Political militia","Civilians (Ukraine)","Party of Shariy",Civilians,"Political militia-Civilians",,804,Europe,Ukraine,Dnipropetrovsk,Dniprovskyi,Dniprovska,Dnipro,48.4593,35.0386,1,"Vidkrytyy TV Channel",Subnational,"Property destruction: On 28 July 2020, unidentified individuals damaged and doused with red paint an office of the Shariy Party in Dnipro. They left messages with paint calling the party members separatists.",0,,1753971110
UKR40079,2020-08-01,2020,1,"Strategic developments","Strategic developments","Looting/property destruction","Unidentified Armed Group (Ukraine)",,"Political militia","Civilians (Ukraine)","Government of Ukraine (2019-)",Civilians,"Political militia-Civilians",,804,Europe,Ukraine,"Kyiv City",Kyiv,,"Kyiv - Desnianskyi",50.5097,30.6717,1,"24 Channel; Focus",National,"Property destruction: On 1 August 2020, an unidentified individual destroyed an entry-exit checkpoint to an island in Kiev-Desnianskyi, installed by the city administration. He claimed to the police that he considers it to be illegal to limit people's access to this territory.",0,"local administrators",1753971110
UKR40138,2020-08-11,2020,1,"Strategic developments","Strategic developments","Looting/property destruction","Unidentified Armed Group (Ukraine)",,"Political militia","Civilians (Ukraine)","Former Government of Ukraine (2019-)",Civilians,"Political militia-Civilians",,804,Europe,Ukraine,"Kyiv City",Kyiv,,"Kyiv - Dniprovskyi",50.4540,30.5982,1,"Novoye Vremya Ukraine; Reporter-ua; Segodnya; Stop Corruption",National,"Property destruction: On 11 August 2020, unidentified individuals set fire to the car of a former head of Zelenskyi's Presidential Office in Kiev-Dniproskyi. No injuries were reported. The victim claimed that the incident is a 'threat from the government'.",0,,1753971110
UKR40204,2020-08-17,2020,1,"Strategic developments","Strategic developments","Looting/property destruction","Unidentified Armed Group (Ukraine)",,"Political militia","Civilians (Ukraine)","Journalists (Ukraine)",Civilians,"Political militia-Civilians",,804,Europe,Ukraine,Kyiv,Brovarskyi,Brovarska,Brovary,50.5181,30.8067,1,"Novoye Vremya Ukraine; Reporter-ua; Segodnya; UA:Pershiy",National,"Property destruction: On 17 August 2020, unidentified individuals set fire to a car of a journalist of an investigative programme in Brovary, Kiev. No injuries were reported.",0,,1753971110
UKR40264,2020-08-28,2020,1,"Strategic developments","Strategic developments","Looting/property destruction","Unidentified Armed Group (Ukraine)",,"Political militia","Civilians (Ukraine)","Government of Ukraine (2019-); Servant of the People",Civilians,"Political militia-Civilians",,804,Europe,Ukraine,"Kyiv City",Kyiv,,Kyiv,50.4496,30.5224,1,"24 Channel; Novoye Vremya Ukraine; Reporter-ua; Segodnya",National,"Property destruction: On 28 August 2020, unidentified individuals set fire to a car of a member of Parliament from the Servant of the People party in Kiev. No injuries were reported.",0,,1753971110
UKR40459,2020-09-07,2020,1,"Strategic developments","Strategic developments","Looting/property destruction","Unidentified Armed Group (Ukraine)",,"Political militia","Civilians (Ukraine)","LGBTQ+ (Ukraine)",Civilians,"Political militia-Civilians",,804,Europe,Ukraine,Kharkiv,Kharkivskyi,Kharkivska,Kharkiv,49.9808,36.2527,1,"Novoye Vremya Ukraine",National,"Property destruction: On 7 September 2020, unidentified individuals broke windows of an office of an LGBT organisation 'PrideHub' in Kharkiv.",0,,1753971110
UKR40823,2020-09-27,2020,1,"Strategic developments","Strategic developments","Looting/property destruction","Unidentified Armed Group (Ukraine)",,"Political militia","Civilians (Ukraine)","Ukrainian Orthodox Christian Group (Ukraine)",Civilians,"Political militia-Civilians",,804,Europe,Ukraine,Kharkiv,Kharkivskyi,Kharkivska,Kharkiv,49.9808,36.2527,1,"OSCE SMM-Ukraine",Other,"Property destruction: On 27 September 2020, unidentified individuals fired small arms and threw stones at an empty chapel building of the Orthodox Church of Ukraine in Kharkiv.",0,,1753971110
UKR40822,2020-09-27,2020,1,"Strategic developments","Strategic developments","Looting/property destruction","Unidentified Armed Group (Ukraine)",,"Political militia","Civilians (Ukraine)",,Civilians,"Political militia-Civilians",,804,Europe,Ukraine,Kharkiv,Kharkivskyi,Kharkivska,Kharkiv,49.9808,36.2527,1,StatusQuo,Regional,"Property destruction: On 27 September 2020, about a dozen people slashed a campaigning stand of an unspecified political party in Kharkiv.",0,,1753971110
UKR40772,2020-10-08,2020,1,"Strategic developments","Strategic developments","Looting/property destruction","Unidentified Armed Group (Ukraine)",,"Political militia","Civilians (Ukraine)","Servant of the People",Civilians,"Political militia-Civilians",,804,Europe,Ukraine,Mykolaiv,Mykolaivskyi,Mykolaivska,Mykolaiv,46.9672,32.0183,1,"24 Channel; Novoye Vremya Ukraine",National,"Property destruction: On 8 October 2020, at night, unidentified individuals set fire to a car of a candidate to the local city council from Servant of the People party in Mykolaiv. The car was destroyed, no injuries were reported.",0,,1753971110
UKR40773,2020-10-08,2020,1,"Strategic developments","Strategic developments","Looting/property destruction","Unidentified Armed Group (Ukraine)",,"Political militia","Civilians (Ukraine)","Opposition Platform - For Life",Civilians,"Political militia-Civilians",,804,Europe,Ukraine,Zakarpattia,Uzhhorodskyi,Uzhhorodska,Uzhhorod,48.6167,22.3000,1,"Stop Corruption",National,"Property destruction: On 8 October 2020, two individuals cut with knives campaigning tents of Opposition Platform - For Life party in Uzhhorod, Zakarpattia.",0,,1757975743
UKR40785,2020-10-09,2020,1,"Strategic developments","Strategic developments","Looting/property destruction","Unidentified Armed Group (Ukraine)",,"Political militia","Civilians (Ukraine)","Servant of the People",Civilians,"Political militia-Civilians",,804,Europe,Ukraine,Kharkiv,Lozivskyi,Lozivska,Lozova,48.8894,36.3176,1,"Novoye Vremya Ukraine",National,"Property destruction: On 9 October 2020, at night, unidentified individuals set fire to a car of a candidate to the position of the city mayor from Servant of the People party in Lozova, Kharkiv. The car was destroyed, the fire spread to other two cars parked nearby. No injuries were reported.",0,,1762291950
UKR41016,2020-10-13,2020,1,"Strategic developments","Strategic developments","Looting/property destruction","Unidentified Armed Group (Ukraine)",,"Political militia","Civilians (Ukraine)",,Civilians,"Political militia-Civilians",,804,Europe,Ukraine,Luhansk,Sievierodonetskyi,Lysychanska,Lysychansk,48.9054,38.4353,1,ZMINA,Other,"Property destruction: On 13 October 2020, unidentified individuals smashed the car of the head of a human rights NGO in Lysychansk, Luhansk. No injuries were reported.",0,,1753971110
UKR41083,2020-10-18,2020,1,"Strategic developments","Strategic developments","Looting/property destruction","Unidentified Armed Group (Ukraine)",,"Political militia","Civilians (Ukraine)","Opposition Platform - For Life",Civilians,"Political militia-Civilians",,804,Europe,Ukraine,Kherson,Henicheskyi,Henicheska,Henichesk,46.1759,34.8034,1,"Novyi Vizit",Subnational,"Property destruction: On 18 October 2020, unidentified individuals destroyed campaigning tents and print materials of the Opposition Platform - For Life party in Henichesk, Kherson.",0,,1753971110
UKR40919,2020-10-19,2020,1,"Strategic developments","Strategic developments","Looting/property destruction","Unidentified Armed Group (Ukraine)",,"Political militia","Civilians (Ukraine)","Independent Politicians (Ukraine)",Civilians,"Political militia-Civilians",,804,Europe,Ukraine,Lviv,Drohobytskyi,Drohobytska,Drohobych,49.3499,23.5056,1,"Novoye Vremya Ukraine",National,"Property destruction: On 19 October 2020, unidentified individuals set fire to a car of a candidate for the position of the head of the local territorial community in Drohobych, Lviv. No injuries were reported.",0,,1753971110
